episode,steps,return,average_reward_per_step
950,11,10,0.9090909090909091
951,12,-9,-0.75
952,14,-2,-0.14285714285714285
953,10,11,1.1
954,10,2,0.2
955,17,4,0.23529411764705882
956,9,12,1.3333333333333333
957,18,-6,-0.3333333333333333
958,15,-3,-0.2
959,18,3,0.16666666666666666
960,14,7,0.5
961,9,12,1.3333333333333333
962,13,-1,-0.07692307692307693
963,14,7,0.5
964,17,4,0.23529411764705882
965,16,-4,-0.25
966,20,1,0.05
967,15,6,0.4
968,16,5,0.3125
969,12,9,0.75
970,18,-6,-0.3333333333333333
971,12,0,0.0
972,13,-1,-0.07692307692307693
973,16,-13,-0.8125
974,9,12,1.3333333333333333
975,8,13,1.625
976,12,9,0.75
977,9,12,1.3333333333333333
978,19,-7,-0.3684210526315789
979,13,-1,-0.07692307692307693
980,17,-5,-0.29411764705882354
981,11,10,0.9090909090909091
982,13,8,0.6153846153846154
983,12,9,0.75
984,10,11,1.1
985,17,-5,-0.29411764705882354
986,12,9,0.75
987,8,13,1.625
988,13,8,0.6153846153846154
989,27,-24,-0.8888888888888888
990,16,5,0.3125
991,16,5,0.3125
992,14,7,0.5
993,16,-13,-0.8125
994,15,6,0.4
995,12,0,0.0
996,10,11,1.1
997,12,0,0.0
998,29,-8,-0.27586206896551724
999,17,4,0.23529411764705882
1000,14,7,0.5
1001,16,-13,-0.8125
1002,12,9,0.75
1003,20,-8,-0.4
1004,14,7,0.5
1005,19,2,0.10526315789473684
1006,19,-16,-0.8421052631578947
1007,11,10,0.9090909090909091
1008,20,1,0.05
1009,16,-4,-0.25
1010,13,8,0.6153846153846154
1011,11,10,0.9090909090909091
1012,26,-14,-0.5384615384615384
1013,13,-1,-0.07692307692307693
1014,16,-4,-0.25
1015,17,-5,-0.29411764705882354
1016,16,5,0.3125
1017,14,7,0.5
1018,13,8,0.6153846153846154
1019,13,8,0.6153846153846154
1020,20,1,0.05
1021,21,0,0.0
1022,10,11,1.1
1023,6,15,2.5
1024,26,-23,-0.8846153846153846
1025,14,7,0.5
1026,8,13,1.625
1027,15,-3,-0.2
1028,11,10,0.9090909090909091
1029,26,-14,-0.5384615384615384
1030,17,-5,-0.29411764705882354
1031,12,9,0.75
1032,17,4,0.23529411764705882
1033,13,8,0.6153846153846154
1034,6,15,2.5
1035,22,-19,-0.8636363636363636
1036,13,-1,-0.07692307692307693
1037,17,4,0.23529411764705882
1038,21,-9,-0.42857142857142855
1039,12,9,0.75
1040,13,8,0.6153846153846154
1041,16,5,0.3125
1042,11,10,0.9090909090909091
1043,13,8,0.6153846153846154
1044,13,8,0.6153846153846154
1045,22,-1,-0.045454545454545456
1046,22,-10,-0.45454545454545453
1047,10,11,1.1
1048,18,3,0.16666666666666666
1049,15,6,0.4
1050,19,-16,-0.8421052631578947
1051,26,-14,-0.5384615384615384
1052,21,-18,-0.8571428571428571
1053,18,-6,-0.3333333333333333
1054,6,15,2.5
1055,19,-7,-0.3684210526315789
1056,19,-7,-0.3684210526315789
1057,14,7,0.5
1058,16,-4,-0.25
1059,8,4,0.5
1060,8,13,1.625
1061,12,9,0.75
1062,14,7,0.5
1063,16,5,0.3125
1064,15,6,0.4
1065,14,7,0.5
1066,25,-22,-0.88
1067,17,4,0.23529411764705882
1068,12,0,0.0
1069,19,2,0.10526315789473684
1070,10,11,1.1
1071,13,8,0.6153846153846154
1072,13,8,0.6153846153846154
1073,21,-27,-1.2857142857142858
1074,20,1,0.05
1075,14,-2,-0.14285714285714285
1076,12,9,0.75
1077,15,6,0.4
1078,16,-13,-0.8125
1079,12,9,0.75
1080,12,9,0.75
1081,13,8,0.6153846153846154
1082,12,9,0.75
1083,16,5,0.3125
1084,18,3,0.16666666666666666
1085,15,6,0.4
1086,20,-26,-1.3
1087,16,5,0.3125
1088,15,-12,-0.8
1089,20,-8,-0.4
1090,17,-5,-0.29411764705882354
1091,19,-7,-0.3684210526315789
1092,13,8,0.6153846153846154
1093,23,-2,-0.08695652173913043
1094,15,6,0.4
1095,18,-6,-0.3333333333333333
1096,20,1,0.05
1097,19,2,0.10526315789473684
1098,25,-4,-0.16
1099,18,-6,-0.3333333333333333
1100,12,0,0.0
1101,11,10,0.9090909090909091
1102,15,-3,-0.2
1103,14,7,0.5
1104,10,11,1.1
1105,11,10,0.9090909090909091
1106,12,9,0.75
1107,14,-2,-0.14285714285714285
1108,10,11,1.1
1109,14,-2,-0.14285714285714285
1110,13,8,0.6153846153846154
1111,19,2,0.10526315789473684
1112,13,-1,-0.07692307692307693
1113,17,4,0.23529411764705882
1114,19,-7,-0.3684210526315789
1115,18,3,0.16666666666666666
1116,17,4,0.23529411764705882
1117,20,-8,-0.4
1118,18,3,0.16666666666666666
1119,17,-5,-0.29411764705882354
1120,13,8,0.6153846153846154
1121,7,14,2.0
1122,20,-8,-0.4
1123,14,-2,-0.14285714285714285
1124,15,6,0.4
1125,8,13,1.625
1126,12,9,0.75
1127,14,-2,-0.14285714285714285
1128,18,-6,-0.3333333333333333
1129,12,9,0.75
1130,13,8,0.6153846153846154
1131,11,10,0.9090909090909091
1132,15,-12,-0.8
1133,13,8,0.6153846153846154
1134,13,8,0.6153846153846154
1135,12,9,0.75
1136,16,-4,-0.25
1137,23,-2,-0.08695652173913043
1138,10,11,1.1
1139,19,-16,-0.8421052631578947
1140,13,8,0.6153846153846154
1141,17,-23,-1.3529411764705883
1142,12,9,0.75
1143,17,4,0.23529411764705882
1144,17,4,0.23529411764705882
1145,13,8,0.6153846153846154
1146,9,12,1.3333333333333333
1147,19,-7,-0.3684210526315789
1148,11,10,0.9090909090909091
1149,17,4,0.23529411764705882
1150,12,0,0.0
1151,11,1,0.09090909090909091
1152,14,7,0.5
1153,21,0,0.0
1154,12,0,0.0
1155,16,5,0.3125
1156,11,10,0.9090909090909091
1157,18,3,0.16666666666666666
1158,12,9,0.75
1159,21,0,0.0
1160,12,9,0.75
1161,15,-3,-0.2
1162,14,-2,-0.14285714285714285
1163,19,2,0.10526315789473684
1164,13,8,0.6153846153846154
1165,13,8,0.6153846153846154
1166,13,8,0.6153846153846154
1167,12,9,0.75
1168,16,5,0.3125
1169,8,13,1.625
1170,18,3,0.16666666666666666
1171,25,-22,-0.88
1172,17,-5,-0.29411764705882354
1173,13,8,0.6153846153846154
1174,18,-24,-1.3333333333333333
1175,15,6,0.4
1176,18,3,0.16666666666666666
1177,10,11,1.1
1178,17,4,0.23529411764705882
1179,17,-5,-0.29411764705882354
1180,19,-7,-0.3684210526315789
